,data_type,image_file_name,audio_file_name,speaker,label
0,combined-audio-image,IMG_4553.JPG,9_jackson_11.wav,jackson,9
1,combined-audio-image,IMG_5327.JPG,9_nicolas_35.wav,nicolas,9
2,combined-audio-image,IMG_5856.JPG,9_jackson_2.wav,jackson,9
3,combined-audio-image,IMG_4455.JPG,9_jackson_16.wav,jackson,9
4,combined-audio-image,IMG_5516.JPG,9_yweweler_20.wav,yweweler,9
5,combined-audio-image,IMG_5275.JPG,9_jackson_36.wav,jackson,9
6,combined-audio-image,IMG_5411.JPG,9_theo_25.wav,theo,9
7,combined-audio-image,IMG_4422.JPG,9_yweweler_10.wav,yweweler,9
8,combined-audio-image,IMG_5959.JPG,9_jackson_30.wav,jackson,9
9,combined-audio-image,IMG_5496.JPG,9_yweweler_18.wav,yweweler,9
10,combined-audio-image,IMG_5265.JPG,9_theo_33.wav,theo,9
11,combined-audio-image,IMG_5338.JPG,9_nicolas_27.wav,nicolas,9
12,combined-audio-image,IMG_5815.JPG,9_nicolas_6.wav,nicolas,9
13,combined-audio-image,IMG_5131.JPG,9_yweweler_33.wav,yweweler,9
14,combined-audio-image,IMG_4315.JPG,9_theo_39.wav,theo,9
15,combined-audio-image,IMG_4895.JPG,9_theo_13.wav,theo,9
16,combined-audio-image,IMG_1198.JPG,9_nicolas_23.wav,nicolas,9
17,combined-audio-image,IMG_1218.JPG,9_theo_49.wav,theo,9
18,combined-audio-image,IMG_5825.JPG,9_yweweler_31.wav,yweweler,9
19,combined-audio-image,IMG_5317.JPG,9_nicolas_41.wav,nicolas,9
20,combined-audio-image,IMG_5724.JPG,8_theo_36.wav,theo,8
21,combined-audio-image,IMG_5744.JPG,8_yweweler_9.wav,yweweler,8
22,combined-audio-image,IMG_5231.JPG,8_jackson_29.wav,jackson,8
23,combined-audio-image,IMG_4774.JPG,8_nicolas_42.wav,nicolas,8
24,combined-audio-image,IMG_5274.JPG,8_nicolas_18.wav,nicolas,8
25,combined-audio-image,IMG_5337.JPG,8_nicolas_1.wav,nicolas,8
26,combined-audio-image,IMG_5834.JPG,8_jackson_21.wav,jackson,8
27,combined-audio-image,IMG_4464.JPG,8_nicolas_41.wav,nicolas,8
